マスター,地名,センター,燃えるごみ,ペットボトル・トレイ・紙パック,新聞広告・雑誌類・ダンボール・雑がみ類,空缶/空ビン・燃えないごみ・有害ごみ
1,三瀬,脊振広域クリーンセンター,月 木,木1,木3,木2 木4
2,石塚,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,東搦一区,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,東搦二区,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,西搦,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,浮盃,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,大中島,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,為重,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,上下,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,三重,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,福田（208号南側）,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,山領（208号南側）,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,野町（208号南側）,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,小杭（208号南側）,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,東寺井,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,西寺井,脊振広域クリーンセンター,月 木,金2,金4,金1 金3
2,諸富（208号南側）,脊振広域クリーンセンター,月 木,金1,金3,金2 金4
2,諸富新村（208号南側）,脊振広域クリーンセンター,月 木,金1,金3,金2 金4
3,加与丁上,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,加与丁下,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,陣内,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,太田,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,土師,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,上大津,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,大津,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,下大津,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,千歳,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,福田（208号北側）,脊振広域クリーンセンター,火 金,金2,金4,金1 金3
3,山領（208号北側）,脊振広域クリーンセンター,火 金,金2,金4,金1 金3
3,野町（208号北側）,脊振広域クリーンセンター,火 金,金2,金4,金1 金3
3,小杭（208号北側）,脊振広域クリーンセンター,火 金,金2,金4,金1 金3
3,大堂渡端,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,大堂村,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,大堂津,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,橋津,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,徳富一区,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,徳富二区,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,諸富（208号北側）,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
3,諸富新村（208号北側）,脊振広域クリーンセンター,火 金,金1,金3,金2 金4
