label,name,notice,furigana
燃えるごみ,台所ごみ,,主な物
燃えるごみ,プラスチック製品,,主な物
燃えるごみ,紙類・木類,,主な物
燃えるごみ,繊維類、ゴム、皮革製品,,主な物
燃えるごみ,衣類等,,あ
燃えるごみ,菓子袋,,か
燃えるごみ,紙オムツ,汚物は取り除く,か
燃えるごみ,皮革製品、靴、カバン,金属部分は可能な限り取る,か
燃えるごみ,CD・DVD・カセット類,,さ
燃えるごみ,使用済みティッシュ,,さ
燃えるごみ,生ごみ,,な
燃えるごみ,ポリ袋,,は
燃えるごみ,発泡スチロール,,は
新聞広告・雑誌類・ダンボール・雑がみ類,コピー用紙,,主な物
新聞広告・雑誌類・ダンボール・雑がみ類,文書,,主な物
新聞広告・雑誌類・ダンボール・雑がみ類,メモ紙,,主な物
新聞広告・雑誌類・ダンボール・雑がみ類,菓子箱,,主な物
新聞広告・雑誌類・ダンボール・雑がみ類,封筒・手紙,,主な物
新聞広告・雑誌類・ダンボール・雑がみ類,はがき,,主な物
新聞広告・雑誌類・ダンボール・雑がみ類,包装紙,,主な物
新聞広告・雑誌類・ダンボール・雑がみ類,パンフレット,主な物
新聞広告・雑誌類・ダンボール・雑がみ類,ティッシュペーパーの箱,,主な物
新聞広告・雑誌類・ダンボール・雑がみ類,レシート,,主な物
空缶/空ビン・燃えないごみ・有害ごみ,蛍光管・電球,,主な物
空缶/空ビン・燃えないごみ・有害ごみ,乾電池類,,か
空缶/空ビン・燃えないごみ・有害ごみ,体温計,,た
